seed,scenario,checkpoint_position,exact_resume,model_exact,optimizer_exact,scheduler_exact,stream_exact,rng_exact,gradients_exact,next_batch_match,max_parameter_abs_error,max_optimizer_tensor_abs_error,learning_rate_error,first_divergent_optimizer_step,interrupt_optimizer_step,interrupt_microstep_in_accumulation,reference_final_model_hash,resumed_final_model_hash
29,omit_scheduler,optimizer_step_boundary,False,False,False,False,True,True,True,True,0.005801213905215263,0.001101084053516388,0.004410000000000001,9,5,0,2caa5f8ed3b4a64cbfb749294ed95b21f31138f017b53a381bfaf703bebc0b77,16e1dc9cf5501dcf3c1c99e32f996d31e65ec5442759472f3e4cbff6ac312a38
29,full_mid_accumulation,mid_accumulation,True,True,True,True,True,True,True,True,0.0,0.0,0.0,,5,1,2caa5f8ed3b4a64cbfb749294ed95b21f31138f017b53a381bfaf703bebc0b77,2caa5f8ed3b4a64cbfb749294ed95b21f31138f017b53a381bfaf703bebc0b77
29,mid_without_gradients,mid_accumulation,False,False,False,True,True,True,True,True,0.03545041382312775,0.004616692662239075,0.0,6,5,1,2caa5f8ed3b4a64cbfb749294ed95b21f31138f017b53a381bfaf703bebc0b77,86a8d5403843ed13903bfeb74b9bd4c2da7a7cefc90bcc655522f7c19596b6e4
47,full_boundary,optimizer_step_boundary,True,True,True,True,True,True,True,True,0.0,0.0,0.0,,5,0,d289e5787a1066ad73171d9c4544adc983f36e525d5f881f57d37edeaed588a6,d289e5787a1066ad73171d9c4544adc983f36e525d5f881f57d37edeaed588a6
47,model_optimizer_only,optimizer_step_boundary,False,False,False,False,False,False,True,False,0.09413851797580719,0.025455518625676632,0.004410000000000001,6,5,0,d289e5787a1066ad73171d9c4544adc983f36e525d5f881f57d37edeaed588a6,8bea4eb00bd40a386d75ebc4008e328fcf258c9f26cbd9a70368906b8c5311c9
47,omit_rng,optimizer_step_boundary,False,False,False,True,True,False,True,True,0.08231598138809204,0.03140993509441614,0.0,6,5,0,d289e5787a1066ad73171d9c4544adc983f36e525d5f881f57d37edeaed588a6,6bc3610c3c76cbf89db4df3502d672c489e731c06e7110d90c33a6bb53373cf2
47,omit_stream,optimizer_step_boundary,False,False,False,True,False,True,True,False,0.07839614152908325,0.034652652218937874,0.0,6,5,0,d289e5787a1066ad73171d9c4544adc983f36e525d5f881f57d37edeaed588a6,9dab751d6bf01dbf18cd76d725f3fd679411f8f4227d8d49aea30802be53b0cf
47,omit_scheduler,optimizer_step_boundary,False,False,False,False,True,True,True,True,0.005978286266326904,0.000552445650100708,0.004410000000000001,9,5,0,d289e5787a1066ad73171d9c4544adc983f36e525d5f881f57d37edeaed588a6,d836d819aa00bd9ec71a903540697bba442313007c39ce477d61a52f49da99f9
47,full_mid_accumulation,mid_accumulation,True,True,True,True,True,True,True,True,0.0,0.0,0.0,,5,1,d289e5787a1066ad73171d9c4544adc983f36e525d5f881f57d37edeaed588a6,d289e5787a1066ad73171d9c4544adc983f36e525d5f881f57d37edeaed588a6
47,mid_without_gradients,mid_accumulation,False,False,False,True,True,True,True,True,0.03202208876609802,0.005826199427247047,0.0,6,5,1,d289e5787a1066ad73171d9c4544adc983f36e525d5f881f57d37edeaed588a6,9e619608ef3d3b4b7570c1d559e69759d2016a33ae48e179413e92cb60326c47
83,full_boundary,optimizer_step_boundary,True,True,True,True,True,True,True,True,0.0,0.0,0.0,,5,0,6016d97be7a0683715caffa77c114a1ed47346ce8cdf6c0f1dc5c648dc97021b,6016d97be7a0683715caffa77c114a1ed47346ce8cdf6c0f1dc5c648dc97021b
83,model_optimizer_only,optimizer_step_boundary,False,False,False,False,False,False,True,False,0.09720434993505478,0.02209223434329033,0.004410000000000001,6,5,0,6016d97be7a0683715caffa77c114a1ed47346ce8cdf6c0f1dc5c648dc97021b,d0f18fe0ff77eecbcea81e0c4a59d291542556238fa1e6aa22b882568219ea4f
83,omit_rng,optimizer_step_boundary,False,False,False,True,True,False,True,True,0.05853545665740967,0.02297280076891184,0.0,6,5,0,6016d97be7a0683715caffa77c114a1ed47346ce8cdf6c0f1dc5c648dc97021b,3c1f3d881f38eda9f62a9dfd9e915c1f28cb7c883b5b5d45ca89b5dbe6e48f52
83,omit_stream,optimizer_step_boundary,False,False,False,True,False,True,True,False,0.0747127290815115,0.02139689034083858,0.0,6,5,0,6016d97be7a0683715caffa77c114a1ed47346ce8cdf6c0f1dc5c648dc97021b,1b107b7a18af8b1156b48cddf4f27160cff69fc27b69ecac0c35175b7fe3673f
83,omit_scheduler,optimizer_step_boundary,False,False,False,False,True,True,True,True,0.005941152572631836,0.0006201267242431641,0.004410000000000001,9,5,0,6016d97be7a0683715caffa77c114a1ed47346ce8cdf6c0f1dc5c648dc97021b,98a4dfca1e51824635a54cbba6f490026c23fa43d5acb2372b113eb0f1b24157
83,full_mid_accumulation,mid_accumulation,True,True,True,True,True,True,True,True,0.0,0.0,0.0,,5,1,6016d97be7a0683715caffa77c114a1ed47346ce8cdf6c0f1dc5c648dc97021b,6016d97be7a0683715caffa77c114a1ed47346ce8cdf6c0f1dc5c648dc97021b
83,mid_without_gradients,mid_accumulation,False,False,False,True,True,True,True,True,0.029249072074890137,0.0019603725522756577,0.0,6,5,1,6016d97be7a0683715caffa77c114a1ed47346ce8cdf6c0f1dc5c648dc97021b,bd99d13d43ca5eaf4d7c322b239807f491900fbeed9911c7b43099f5ec157f13
