step,waiting,running,finished,used_blocks,free_blocks,preemptions
226,62,4,14,39,9,62
227,62,4,14,39,9,62
228,62,4,14,39,9,62
229,62,3,15,39,9,62
230,57,8,15,32,16,62
231,57,8,15,37,11,62
232,57,8,15,41,7,62
233,57,8,15,46,2,62
234,61,4,15,48,0,66
235,61,4,15,48,0,66
236,61,4,15,48,0,66
237,61,4,15,48,0,66
238,61,4,15,48,0,66
239,61,3,16,48,0,66
240,57,7,16,48,0,66
241,60,4,16,45,3,69
242,60,4,16,45,3,69
243,60,4,16,45,3,69
244,60,4,16,45,3,69
245,60,4,16,45,3,69
246,60,4,16,45,3,69
247,60,4,16,46,2,69
248,60,4,16,47,1,69
249,60,4,16,48,0,69
250,60,4,16,48,0,69
251,60,4,16,48,0,69
252,60,4,16,48,0,69
253,60,4,16,48,0,69
254,60,4,16,48,0,69
255,60,4,16,48,0,69
256,61,3,16,46,2,70
257,60,4,16,48,0,70
258,60,4,16,48,0,70
259,60,4,16,48,0,70
260,60,4,16,48,0,70
261,60,4,16,48,0,70
262,60,4,16,48,0,70
263,61,3,16,47,1,71
264,61,3,16,47,1,71
265,61,3,16,48,0,71
266,61,3,16,48,0,71
267,61,3,16,48,0,71
268,61,3,16,48,0,71
269,61,2,17,48,0,71
270,57,6,17,34,14,71
271,57,6,17,38,10,71
272,57,6,17,43,5,71
273,57,6,17,43,5,71
274,57,6,17,43,5,71
275,57,5,18,44,4,71
276,57,5,18,36,12,71
277,57,5,18,36,12,71
278,57,5,18,38,10,71
279,57,5,18,38,10,71
280,57,5,18,38,10,71
281,57,5,18,39,9,71
282,57,5,18,39,9,71
283,57,4,19,39,9,71
284,49,12,19,21,27,71
285,49,12,19,25,23,71
286,49,12,19,29,19,71
287,49,12,19,33,15,71
288,49,12,19,37,11,71
289,49,12,19,42,6,71
290,49,12,19,46,2,71
291,55,6,19,46,2,77
292,55,6,19,46,2,77
293,55,6,19,46,2,77
294,55,6,19,48,0,77
295,55,6,19,48,0,77
296,55,6,19,48,0,77
297,55,6,19,48,0,77
298,55,6,19,48,0,77
299,56,5,19,45,3,78
300,56,5,19,45,3,78
301,56,5,19,45,3,78
302,56,5,19,45,3,78
303,56,5,19,46,2,78
304,56,5,19,46,2,78
305,56,5,19,46,2,78
306,56,5,19,46,2,78
307,56,5,19,47,1,78
308,56,5,19,47,1,78
309,56,5,19,47,1,78
310,57,4,19,25,23,79
311,51,10,19,29,19,79
312,51,10,19,33,15,79
313,51,10,19,37,11,79
314,51,10,19,40,8,79
315,51,10,19,44,4,79
316,56,5,19,48,0,84
317,56,5,19,48,0,84
318,56,5,19,48,0,84
319,57,4,19,26,22,85
320,57,4,19,26,22,85
321,57,4,19,26,22,85
322,57,4,19,26,22,85
323,57,4,19,27,21,85
324,57,4,19,27,21,85
325,57,4,19,27,21,85
326,57,4,19,29,19,85
327,57,4,19,29,19,85
328,57,4,19,29,19,85
329,57,4,19,29,19,85
330,57,4,19,29,19,85
331,57,4,19,29,19,85
332,57,4,19,29,19,85
333,57,4,19,29,19,85
334,57,4,19,29,19,85
335,57,4,19,30,18,85
336,57,4,19,30,18,85
337,57,4,19,30,18,85
338,57,4,19,30,18,85
339,57,4,19,31,17,85
340,57,4,19,31,17,85
341,57,4,19,31,17,85
342,57,4,19,33,15,85
343,57,4,19,33,15,85
344,57,4,19,33,15,85
345,57,3,20,33,15,85
346,48,12,20,26,22,85
347,48,12,20,30,18,85
348,48,11,21,34,14,85
349,47,12,21,30,18,85
350,47,12,21,34,14,85
351,47,12,21,38,10,85
352,47,12,21,42,6,85
353,47,12,21,46,2,85
354,54,4,22,45,3,92
355,51,7,22,42,6,92
356,51,7,22,47,1,92
357,52,5,23,48,0,93
358,51,6,23,46,2,93
359,51,6,23,48,0,93
360,51,6,23,48,0,93
361,52,5,23,44,4,94
362,52,5,23,44,4,94
363,52,5,23,44,4,94
364,52,5,23,44,4,94
365,52,5,23,45,3,94
366,52,5,23,45,3,94
367,52,5,23,45,3,94
368,52,5,23,45,3,94
369,52,5,23,45,3,94
370,52,5,23,45,3,94
371,52,4,24,46,2,94
372,51,5,24,45,3,94
373,51,5,24,47,1,94
374,51,5,24,47,1,94
375,51,5,24,47,1,94
376,51,5,24,48,0,94
377,52,4,24,43,5,95
378,52,4,24,43,5,95
379,52,4,24,43,5,95
380,52,4,24,43,5,95
381,52,4,24,44,4,95
382,52,4,24,44,4,95
383,52,4,24,44,4,95
384,52,4,24,44,4,95
385,52,4,24,44,4,95
386,52,4,24,44,4,95
387,52,4,24,45,3,95
388,52,4,24,45,3,95
389,52,4,24,45,3,95
390,52,4,24,45,3,95
391,52,4,24,45,3,95
392,52,4,24,45,3,95
393,52,4,24,47,1,95
394,52,4,24,47,1,95
395,52,4,24,47,1,95
396,52,4,24,47,1,95
397,52,4,24,48,0,95
398,52,4,24,48,0,95
399,52,4,24,48,0,95
400,52,4,24,48,0,95
401,52,4,24,48,0,95
402,52,4,24,48,0,95
403,53,3,24,41,7,96
404,51,5,24,45,3,96
405,52,4,24,46,2,97
406,52,3,25,46,2,97
407,43,12,25,24,24,97
408,43,12,25,28,20,97
409,43,12,25,33,15,97
410,43,12,25,37,11,97
411,43,11,26,41,7,97
412,42,12,26,37,11,97
413,42,12,26,42,6,97
414,42,12,26,46,2,97
415,50,4,26,45,3,105
416,50,4,26,45,3,105
417,50,4,26,45,3,105
418,50,4,26,45,3,105
419,50,4,26,46,2,105
420,50,4,26,46,2,105
421,50,4,26,46,2,105
422,50,3,27,46,2,105
423,50,3,27,38,10,105
424,50,3,27,38,10,105
425,50,3,27,38,10,105
426,50,3,27,38,10,105
427,50,3,27,39,9,105
428,50,3,27,39,9,105
429,50,3,27,40,8,105
430,50,3,27,40,8,105
431,50,3,27,40,8,105
432,50,3,27,40,8,105
433,50,3,27,40,8,105
434,50,3,27,40,8,105
435,50,3,27,40,8,105
436,50,3,27,40,8,105
437,50,3,27,40,8,105
438,50,2,28,40,8,105
439,50,2,28,33,15,105
440,50,2,28,33,15,105
441,50,2,28,33,15,105
442,50,2,28,33,15,105
443,50,2,28,33,15,105
444,50,2,28,33,15,105
445,50,2,28,34,14,105
446,50,2,28,34,14,105
447,50,2,28,34,14,105
448,50,2,28,34,14,105
449,50,2,28,34,14,105
450,50,2,28,34,14,105
451,50,2,28,34,14,105
452,50,2,28,34,14,105
453,50,2,28,34,14,105
454,50,2,28,34,14,105
455,50,2,28,35,13,105
456,50,2,28,35,13,105
457,50,1,29,35,13,105
458,49,2,29,31,17,105
459,49,2,29,35,13,105
460,49,2,29,39,9,105
461,49,2,29,43,5,105
462,49,2,29,46,2,105
463,49,2,29,46,2,105
464,49,2,29,46,2,105
465,49,2,29,46,2,105
466,49,1,30,46,2,105
467,38,12,30,23,25,105
468,38,12,30,27,21,105
469,38,12,30,31,17,105
470,38,12,30,35,13,105
471,38,12,30,39,9,105
472,38,12,30,43,5,105
473,47,3,30,48,0,114
474,47,3,30,48,0,114
475,47,3,30,48,0,114
476,47,3,30,48,0,114
477,48,2,30,43,5,115
478,48,2,30,43,5,115
479,48,2,30,43,5,115
480,48,2,30,43,5,115
481,48,2,30,43,5,115
482,48,2,30,43,5,115
483,48,2,30,43,5,115
484,48,2,30,43,5,115
485,48,2,30,43,5,115
486,48,2,30,43,5,115
487,48,2,30,43,5,115
488,48,2,30,43,5,115
489,48,2,30,44,4,115
490,48,2,30,44,4,115
491,48,2,30,44,4,115
492,48,2,30,44,4,115
493,48,2,30,45,3,115
494,48,2,30,45,3,115
495,48,2,30,45,3,115
496,48,2,30,45,3,115
497,48,2,30,45,3,115
498,48,2,30,45,3,115
499,48,2,30,45,3,115
