step,waiting,running,finished,used_blocks,free_blocks,preemptions
226,54,12,14,47,1,742
227,62,4,14,39,9,750
228,54,11,15,44,4,750
229,53,12,15,37,11,750
230,53,12,15,43,5,750
231,53,12,15,47,1,750
232,61,4,15,48,0,758
233,61,4,15,48,0,758
234,61,4,15,48,0,758
235,61,3,16,48,0,758
236,52,12,16,47,1,758
237,60,4,16,44,4,766
238,60,4,16,45,3,774
239,60,4,16,45,3,782
240,60,4,16,45,3,790
241,60,4,16,45,3,798
242,60,4,16,45,3,806
243,60,4,16,45,3,814
244,60,4,16,47,1,822
245,60,4,16,47,1,830
246,60,4,16,48,0,838
247,60,4,16,48,0,838
248,60,4,16,48,0,838
249,60,4,16,48,0,838
250,60,4,16,48,0,838
251,60,4,16,48,0,838
252,60,4,16,48,0,838
253,60,4,16,48,0,838
254,61,3,16,46,2,839
255,60,4,16,48,0,847
256,60,4,16,48,0,847
257,60,4,16,48,0,847
258,60,4,16,48,0,847
259,60,4,16,48,0,847
260,61,3,16,47,1,848
261,61,3,16,47,1,857
262,61,3,16,48,0,866
263,61,3,16,48,0,866
264,61,3,16,48,0,866
265,61,3,16,48,0,866
266,61,3,16,48,0,866
267,61,2,17,48,0,866
268,51,12,17,34,14,866
269,51,12,17,38,10,866
270,51,12,17,43,5,866
271,51,12,17,46,2,866
272,57,6,17,43,5,872
273,51,12,17,48,0,872
274,57,5,18,44,4,878
275,50,12,18,40,8,878
276,50,12,18,47,1,878
277,57,5,18,39,9,885
278,50,11,19,43,5,885
279,49,12,19,25,23,885
280,49,12,19,29,19,885
281,49,12,19,32,16,885
282,49,12,19,36,12,885
283,49,12,19,40,8,885
284,49,12,19,45,3,885
285,55,6,19,45,3,891
286,55,6,19,45,3,897
287,55,6,19,45,3,903
288,55,6,19,45,3,909
289,55,6,19,46,2,915
290,55,6,19,46,2,921
291,55,6,19,46,2,927
292,55,6,19,48,0,933
293,56,5,19,45,3,934
294,56,5,19,45,3,941
295,56,5,19,45,3,948
296,56,5,19,45,3,955
297,56,5,19,45,3,962
298,56,5,19,45,3,969
299,56,5,19,45,3,976
300,56,5,19,45,3,983
301,56,5,19,46,2,990
302,56,5,19,46,2,997
303,56,5,19,46,2,1004
304,56,5,19,46,2,1011
305,56,5,19,47,1,1018
306,56,5,19,47,1,1025
307,56,5,19,47,1,1032
308,57,4,19,25,23,1040
309,49,12,19,29,19,1040
310,49,12,19,33,15,1040
311,49,12,19,37,11,1040
312,49,12,19,40,8,1040
313,49,12,19,44,4,1040
314,56,5,19,48,0,1047
315,56,5,19,48,0,1047
316,56,5,19,48,0,1047
317,57,4,19,26,22,1048
318,49,12,19,30,18,1048
319,49,12,19,34,14,1048
320,49,12,19,38,10,1048
321,49,12,19,42,6,1048
322,49,12,19,46,2,1048
323,57,4,19,27,21,1056
324,49,12,19,33,15,1056
325,49,12,19,37,11,1056
326,49,12,19,41,7,1056
327,49,12,19,44,4,1056
328,49,12,19,48,0,1056
329,57,4,19,29,19,1064
330,49,12,19,33,15,1064
331,49,12,19,37,11,1064
332,49,12,19,41,7,1064
333,49,12,19,45,3,1064
334,57,4,19,30,18,1072
335,49,12,19,34,14,1072
336,49,12,19,38,10,1072
337,49,12,19,43,5,1072
338,49,12,19,46,2,1072
339,57,4,19,31,17,1080
340,49,12,19,37,11,1080
341,49,12,19,41,7,1080
342,49,12,19,45,3,1080
343,49,11,20,48,0,1080
344,48,12,20,41,7,1080
345,48,12,20,46,2,1080
346,56,3,21,45,3,1088
347,47,12,21,42,6,1088
348,47,12,21,46,2,1088
349,54,5,21,45,3,1095
350,54,5,21,45,3,1102
351,54,5,21,45,3,1109
352,54,4,22,45,3,1116
353,46,12,22,43,5,1116
354,46,12,22,48,0,1116
355,53,4,23,45,3,1123
356,45,12,23,43,5,1123
357,45,12,23,47,1,1123
358,52,5,23,44,4,1130
359,45,12,23,48,0,1130
360,52,5,23,44,4,1137
361,45,12,23,48,0,1137
362,52,5,23,44,4,1144
363,45,12,23,48,0,1144
364,52,5,23,44,4,1151
365,52,5,23,45,3,1158
366,52,4,24,45,3,1165
367,44,12,24,44,4,1165
368,44,12,24,48,0,1165
369,51,5,24,47,1,1172
370,51,5,24,47,1,1179
371,52,4,24,42,6,1187
372,44,12,24,47,1,1187
373,52,4,24,43,5,1195
374,44,12,24,47,1,1195
375,52,4,24,43,5,1203
376,44,12,24,47,1,1203
377,52,4,24,43,5,1211
378,44,12,24,47,1,1211
379,52,4,24,43,5,1219
380,44,12,24,47,1,1219
381,52,4,24,44,4,1227
382,44,12,24,48,0,1227
383,52,4,24,44,4,1235
384,44,12,24,48,0,1235
385,52,4,24,45,3,1243
386,52,4,24,45,3,1251
387,52,4,24,46,2,1259
388,52,4,24,47,1,1267
389,52,4,24,47,1,1275
390,52,4,24,47,1,1283
391,52,4,24,47,1,1291
392,52,4,24,47,1,1299
393,52,4,24,47,1,1307
394,52,4,24,47,1,1315
395,52,4,24,47,1,1323
396,52,4,24,47,1,1331
397,52,4,24,48,0,1339
398,52,4,24,48,0,1339
399,52,4,24,48,0,1339
400,52,3,25,48,0,1339
401,43,12,25,27,21,1339
402,43,12,25,31,17,1339
403,43,12,25,35,13,1339
404,43,12,25,40,8,1339
405,43,12,25,44,4,1339
406,43,11,26,48,0,1339
407,42,12,26,44,4,1339
408,42,12,26,48,0,1339
409,50,3,27,47,1,1347
410,41,12,27,43,5,1347
411,41,12,27,47,1,1347
412,50,3,27,39,9,1356
413,41,12,27,43,5,1356
414,41,12,27,47,1,1356
415,50,3,27,39,9,1365
416,41,12,27,43,5,1365
417,50,3,27,41,7,1374
418,41,12,27,45,3,1374
419,50,3,27,41,7,1383
420,41,11,28,45,3,1383
421,40,12,28,41,7,1383
422,40,12,28,45,3,1383
423,50,2,28,33,15,1393
424,40,12,28,37,11,1393
425,40,12,28,41,7,1393
426,40,12,28,45,3,1393
427,50,2,28,33,15,1403
428,40,12,28,37,11,1403
429,40,12,28,41,7,1403
430,40,12,28,45,3,1403
431,50,2,28,33,15,1413
432,40,11,29,37,11,1413
433,39,12,29,34,14,1413
434,39,12,29,38,10,1413
435,39,12,29,42,6,1413
436,39,12,29,47,1,1413
437,49,2,29,45,3,1423
438,49,2,29,45,3,1433
439,49,2,29,45,3,1443
440,49,2,29,45,3,1453
441,49,2,29,45,3,1463
442,49,2,29,45,3,1473
