seed,model,encoding,scenario,canvas,accuracy
19,mlp,normalized,scale_2x,512,0.87
19,mlp,normalized,scale_4x,1024,0.875
19,mlp,normalized,translated_crop,1024,0.8925
19,mlp,quantized_32,in_domain,256,0.8875
19,mlp,quantized_32,scale_2x,512,0.8841666666666667
19,mlp,quantized_32,scale_4x,1024,0.885
19,mlp,quantized_32,translated_crop,1024,0.8533333333333334
19,mlp,fourier,in_domain,256,0.7825
19,mlp,fourier,scale_2x,512,0.765
19,mlp,fourier,scale_4x,1024,0.7991666666666667
19,mlp,fourier,translated_crop,1024,0.595
19,transformer,raw_pixels,in_domain,256,0.37083333333333335
19,transformer,raw_pixels,scale_2x,512,0.31666666666666665
19,transformer,raw_pixels,scale_4x,1024,0.3333333333333333
19,transformer,raw_pixels,translated_crop,1024,0.25833333333333336
19,transformer,normalized,in_domain,256,0.9625
19,transformer,normalized,scale_2x,512,0.9558333333333333
19,transformer,normalized,scale_4x,1024,0.9516666666666667
19,transformer,normalized,translated_crop,1024,0.6841666666666667
19,transformer,quantized_32,in_domain,256,0.9566666666666667
19,transformer,quantized_32,scale_2x,512,0.9625
19,transformer,quantized_32,scale_4x,1024,0.9583333333333334
19,transformer,quantized_32,translated_crop,1024,0.6733333333333333
19,transformer,fourier,in_domain,256,0.9158333333333334
19,transformer,fourier,scale_2x,512,0.9233333333333333
19,transformer,fourier,scale_4x,1024,0.93
19,transformer,fourier,translated_crop,1024,0.7233333333333334
23,mlp,raw_pixels,in_domain,256,0.9183333333333333
23,mlp,raw_pixels,scale_2x,512,0.9208333333333333
23,mlp,raw_pixels,scale_4x,1024,0.915
23,mlp,raw_pixels,translated_crop,1024,0.5075
23,mlp,normalized,in_domain,256,0.9141666666666667
23,mlp,normalized,scale_2x,512,0.9183333333333333
23,mlp,normalized,scale_4x,1024,0.9016666666666666
23,mlp,normalized,translated_crop,1024,0.7358333333333333
23,mlp,quantized_32,in_domain,256,0.9166666666666666
23,mlp,quantized_32,scale_2x,512,0.9225
23,mlp,quantized_32,scale_4x,1024,0.9058333333333334
23,mlp,quantized_32,translated_crop,1024,0.7191666666666666
23,mlp,fourier,in_domain,256,0.8091666666666667
23,mlp,fourier,scale_2x,512,0.7941666666666667
23,mlp,fourier,scale_4x,1024,0.8158333333333333
23,mlp,fourier,translated_crop,1024,0.585
23,transformer,raw_pixels,in_domain,256,0.32083333333333336
23,transformer,raw_pixels,scale_2x,512,0.3591666666666667
23,transformer,raw_pixels,scale_4x,1024,0.3375
23,transformer,raw_pixels,translated_crop,1024,0.25666666666666665
23,transformer,normalized,in_domain,256,0.9608333333333333
23,transformer,normalized,scale_2x,512,0.96
23,transformer,normalized,scale_4x,1024,0.9658333333333333
23,transformer,normalized,translated_crop,1024,0.6658333333333334
23,transformer,quantized_32,in_domain,256,0.9483333333333334
23,transformer,quantized_32,scale_2x,512,0.94
23,transformer,quantized_32,scale_4x,1024,0.9416666666666667
23,transformer,quantized_32,translated_crop,1024,0.7033333333333334
23,transformer,fourier,in_domain,256,0.9275
23,transformer,fourier,scale_2x,512,0.9316666666666666
23,transformer,fourier,scale_4x,1024,0.9183333333333333
23,transformer,fourier,translated_crop,1024,0.6358333333333334
